Espresso|กาแฟเอสเปรสโซ่สกัดจากเมล็ดกาแฟ|เข้มข้น ขมเล็กน้อย|ช่วยเพิ่มพลังงานและสมาธิ|การดื่มในช่วงเช้า
Latte|กาแฟเอสเปรสโซ่ ผสมนมและฟองนม|นุ่มนวล หอมหวาน|ช่วยผ่อนคลายและเติมพลังงาน|ผู้ที่ชอบกาแฟรสชาติอ่อน
Cappuccino|กาแฟเอสเปรสโซ่ ผสมฟองนมและนมในปริมาณเท่าๆ กัน|เข้มข้น หวานมัน|ช่วยเพิ่มพลังงานและความสดชื่น|การดื่มในช่วงบ่าย
Green Tea|ชาเขียวคุณภาพดี|หอมสดชื่น|เต็มไปด้วยสารต้านอนุมูลอิสระ|ผู้รักสุขภาพ
Black Tea|ชาดำ|เข้มข้น กลมกล่อม|เพิ่มสมาธิและความกระปรี้กระเปร่า|การดื่มในช่วงเช้าหรือบ่าย
Matcha Latte|ผงมัทฉะ ผสมนม|หวานมัน หอมชาเขียว|ช่วยเพิ่มสมาธิและความผ่อนคลาย|การดื่มยามบ่าย
Orange Juice|น้ำส้มคั้นสด|เปรี้ยวหวาน สดชื่น|อุดมไปด้วยวิตามินซี ช่วยเสริมภูมิคุ้มกัน|การดื่มเพื่อความสดชื่น
Apple Juice|น้ำแอปเปิ้ล|หอมหวานตามธรรมชาติ|บำรุงหัวใจและระบบย่อยอาหาร|การดื่มเป็นอาหารว่าง
Grape Juice|น้ำองุ่น|หวานอมเปรี้ยว|ช่วยเพิ่มการไหลเวียนของเลือดและเสริมภูมิคุ้มกัน|การดื่มเพื่อบำรุงสุขภาพ
Berry Smoothie|เบอร์รีหลากชนิด ผสมโยเกิร์ต|เปรี้ยวหวาน หอมสดชื่น|เต็มไปด้วยสารต้านอนุมูลอิสระ|การดื่มหลังออกกำลังกาย
Banana Smoothie|กล้วย ผสมโยเกิร์ตและน้ำผึ้ง|หวานมัน หอมกล้วย|ให้พลังงานสูง เหมาะสำหรับมื้อเช้า|ผู้ที่ต้องการพลังงานอย่างรวดเร็ว
Mango Smoothie|มะม่วงสุก ผสมโยเกิร์ต|หวานมัน หอมมะม่วง|เสริมสร้างวิตามินเอและช่วยเพิ่มความสดชื่น|การดื่มในวันที่อากาศร้อน
